PRECINCT,REG,BALLOTS,SANCHEZ,HARRIS,TOTVOT,CVAP,HCVAP,BCVAP,WCVAP,AMINCVAP,NHPICVAP,VAP,HVAP,WVAP,BVAP,AMINVAP,ASIANVAP,NHPIVAP,OTHERVAP,2MOREVAP,P_SANCHEZ,P_HARRIS,P_HCVAP,P_BCVAP,P_WCVAP,P_AMINCVAP,P_NHPICVAP,P_HVAP,P_WVAP,P_BVAP,P_AMINVAP,P_ASIANVAP,P_NHPIVAP,P_OTHERVAP,P_2MOREVAP
6250001A,980,820,163,543,706,157.7671779,13.96832121,0,136.7807944,0,0,881,30,751,4,0,5.749413633,1,0,14,0.230878187,0.769121813,0.088537561,0,0.866978773,0,0,0.034052213,0.852440409,0.004540295,0,0.006526009,0.001135074,0,0.015891033
6250003C,1104,913,210,601,811,176.0350201,18.99540937,0,134.8653606,0,0,1001,32,881,7,0,20.58482976,1,2,18,0.258939581,0.741060419,0.107906991,0,0.766128015,0,0,0.031968032,0.88011988,0.006993007,0,0.020564265,0.000999001,0.001998002,0.017982018
6250005A,1407,1137,188,812,1000,348.5435318,22.85531356,9.999199682,287.1198766,0,0,1568,113,1268,17,0,25.71222775,1,4,43,0.188,0.812,0.06557377,0.028688525,0.823770492,0,0,0.072066327,0.808673469,0.010841837,0,0.016398104,0.000637755,0.00255102,0.027423469
6250006A,1203,974,185,650,835,26.9416126,4.087117702,0.333642261,20.51899907,0,0,1781,122,1497,21,1,1.417979611,1,3,45,0.221556886,0.778443114,0.151702786,0.012383901,0.761609907,0,0,0.068500842,0.840539023,0.011791129,0.000561482,0.00079617,0.000561482,0.001684447,0.025266704
6250008A,1225,957,195,642,837,991.8502611,150.4664483,12.28297537,755.4029853,0,0,1056,41,884,16,1,52.20264532,4,3,25,0.23297491,0.76702509,0.151702786,0.012383901,0.761609907,0,0,0.038825758,0.837121212,0.015151515,0.00094697,0.049434323,0.003787879,0.002840909,0.023674242
6250010E,1341,1009,186,647,833,934.5688351,104.1376702,0,742.3146747,0,0,1320,78,1083,32,3,69.42511346,2,5,22,0.223289316,0.776710684,0.111428571,0,0.794285714,0,0,0.059090909,0.820454545,0.024242424,0.002272727,0.052594783,0.001515152,0.003787879,0.016666667
6250011A,1311,976,200,628,828,1119.110677,93.69298694,36.43616159,973.366031,0,0,1783,114,1426,35,1,20.82066377,0,2,64,0.241545894,0.758454106,0.08372093,0.03255814,0.869767442,0,0,0.063937185,0.799775659,0.019629837,0.000560852,0.011677321,0,0.001121705,0.03589456
6250015B,1406,1100,194,779,973,347.0888344,29.73712293,4.029329333,261.8743098,5.396303548,0,1267,69,1009,14,0,25.36248645,1,7,34,0.19938335,0.80061665,0.085675827,0.011608928,0.754487854,0.015547327,0,0.054459353,0.796369376,0.011049724,0,0.020017748,0.000789266,0.005524862,0.026835043
6250016A,1551,1174,230,805,1035,865.1801353,63.35027214,17.22593697,692.2685477,0.70627937,0,1628,106,1270,18,1,83.6507224,1,0,68,0.222222222,0.777777778,0.07322206,0.019910232,0.800143831,0.000816338,0,0.065110565,0.78009828,0.011056511,0.000614251,0.051382508,0.000614251,0,0.041769042
6250017A,1397,1105,219,745,964,322.2847726,1.383285303,0,300.9824164,0,0,1361,50,1149,8,1,19.88448881,3,5,17,0.227178423,0.772821577,0.004292121,0,0.93390207,0,0,0.036737693,0.844232182,0.005878031,0.000734754,0.014610205,0.002204262,0.003673769,0.012490816
