PRECINCT,ALFRED,CARTER,HAGEN,TOTVOTE,P_ALFRED,P_CARTER,P_HAGEN,P_HVAP,P_WVAP,P_BVAP,P_AMINVAP,P_ASIANVAP,P_NHPIVAP,P_OTHERVAP,P_2MOREVAP,P_HCVAP,P_BCVAP,P_WCVAP,P_VAP
00 001,100.2039595,69.38246492,190.5965408,360.1829653,0.278202939,249.3951543,0.764235141,0.04888889,0.68444444,0.23555556,0.00888889,0.00825397,0.00063492,0,0.01333333,0.01321625,0.31035195,0.6310204,0.019036223
00 004,286.8766936,102.8635314,259.5668202,649.3070452,0.441819777,232.8178522,1.114892255,0.026245313,0.836100696,0.106052491,0.013926085,0.006963042,0,0,0.010712373,0.008351775,0.090853585,0.768421547,0.022565479
00 005,149.2591827,188.7569528,161.2204576,499.2365931,0.298974844,631.3472732,0.255359395,0.021327014,0.465244866,0.488941548,0.015797788,0.003159558,0,0,0.005529226,0.018896011,0.375245591,0.591113556,0.015301498
00 007,141.5654302,314.3530947,198.5609703,654.4794953,0.216302315,1453.304345,0.136627246,0.025925926,0.401851852,0.522685185,0.022222222,0.011111111,0.000462963,0,0.015740741,0.024907696,0.383999084,0.537895803,0.02610682
00 008,172.9802386,103.3256101,315.2462018,591.5520505,0.292417613,353.3494751,0.892165474,0.021352313,0.743179122,0.192170819,0.026690391,0.002372479,0,0.00059312,0.013641756,0.038118156,0.170166927,0.722241528,0.020377824
00 009,66.33762404,41.48893482,98.42054945,206.2471083,0.321641475,128.9912468,0.763001769,0.013931889,0.767801858,0.187306502,0.013931889,0.003095975,0,0,0.013931889,0.018018018,0.225225225,0.765765766,0.007807873
00 010,235.4524699,107.107316,294.4423172,637.002103,0.369625891,289.7722226,1.016116433,0.026996625,0.790213723,0.128233971,0.030371204,0.009561305,0.00056243,0.001124859,0.012935883,0.015156129,0.237484254,0.735623889,0.021489781
00 011,200.125204,89.58838246,337.4125965,627.126183,0.319114732,280.7403526,1.201867111,0.1,0.777777778,0.071497585,0.042028986,0.000483092,0,0.000483092,0.007729469,0.038358977,0.069011498,0.797326546,0.025019036
00 012,189.3078188,70.90664394,315.2597749,575.4742376,0.328959676,215.5481329,1.462595712,0.034233048,0.863726136,0.045424621,0.019749835,0.02764977,0,0,0.00921659,0.028824834,0.059866962,0.853658537,0.01835938
00 013,52.68967935,31.67586449,108.9457075,193.3112513,0.272563956,116.214429,0.937454225,0.047904192,0.814371257,0.080838323,0.040419162,0.001497006,0,0,0.01497006,0,0,1,0.008073776
